groupItemTitle,outcomes,outcomePrices,volumeNum,volumeClob,enableOrderBook,active,clobTokenIds,event_ticker,event_title,event_description,event_volume,event_country,event_electionType,event_commentCount,correct_outcome,yes_token_id,closing_price,price_2days_prior,pre_election_vwap_48h,price_volatility,price_range,final_week_momentum,price_fluctuations,last_trade_price,prediction_error,prediction_confidence,market_duration_days,trading_frequency,buy_sell_ratio,trading_continuity,late_stage_participation,volume_acceleration,unique_traders_count,trader_to_trade_ratio,two_way_traders_ratio,trader_concentration,new_trader_influx,comment_per_vol,comment_per_trader,actual_outcome,brier_score,log_loss,prediction_correct
Gavin Newsom,"[""Yes"", ""No""]","[""0"", ""1""]",37514692.52,37514692.52,True,True,"[""17271282640034103271682737572094837186921498503512408359915534513146889691691"", ""14662255050020583276710279832399745542299914539983676698998349018564404556388""]",democratic-nominee-2024,Democratic Nominee 2024,This is a market on who will be the Democratic nominee for the 2024 presidential election.,327866173.2, United States, Presidential Primary,3104.0,No,1.7299999999999998e+76,0.001,0.001,0.0269352465,0.170871727,0.015,0.0,0.0,0.001,0.001,0.998,218.0,112.7431193,1.292296213,0.825688073,0.0,4.000694449,3781.0,6.50039672,0.564400952,1.545447148,0.0,8.27E-05,0.820946839,0,1e-06,0.0010005,1.0
Michelle Obama,"[""Yes"", ""No""]","[""0"", ""1""]",36970806.28,36970806.28,True,True,"[""1751860013162459682513846908194657754945547227915014803838522488782202409170"", ""65836549226729331188746373092142669933344738661255360638161110343569416718475""]",presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,628163458.5, United States, Presidential Popular Vote,5184.0,No,1.75e+75,0.001,0.001,0.001,4.34e-16,0.0,0.0,0.0,0.001,0.001,0.998,300.0,151.3733333,1.341186781,0.85,0.015612613,0.669112003,9281.0,4.893007219,0.690658334,1.585461992,0.026936753,0.000140219,0.5585605,0,1e-06,0.0010005,1.0
Other Democrat Politician,"[""Yes"", ""No""]","[""0"", ""1""]",36496306.55,36496306.55,True,True,"[""35181131500187602593152358358430710972979053258824221563421108711539553867878"", ""1474350621956173478532931665613193512109071588800630369304586513574562639231""]",presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,628163458.5, United States, Presidential Popular Vote,5184.0,No,3.5199999999999995e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,300.0,361.5466667,1.16767592,0.733333333,0.003982888,0.170695214,14671.0,7.393088406,0.862722377,1.469473742,0.008792857,0.000142042,0.353350147,0,1e-06,0.0010005,1.0
Hillary Clinton,"[""Yes"", ""No""]","[""0"", ""1""]",35289981.76,35289981.76,True,True,"[""101015352831936309774021600064885251763304202685599258456244867148938388560483"", ""112874704817647901526494996670506711403419164685460827144437225759345253612392""]",democratic-nominee-2024,Democratic Nominee 2024,This is a market on who will be the Democratic nominee for the 2024 presidential election.,327866173.2, United States, Presidential Primary,3104.0,No,1.01e+77,0.001,0.001,0.0269352465,0.170871727,0.015,0.0,0.0,0.001,0.001,0.998,218.0,84.51376147,1.39552724,0.614678899,0.0,4.000694449,2880.0,6.397222222,0.484375,1.62299175,0.0,8.80E-05,1.077777778,0,1e-06,0.0010005,1.0
Other Republican Politician,"[""Yes"", ""No""]","[""0"", ""1""]",35232789.17,35232789.17,True,True,"[""112088350297212871005957317665882725534893348963074328745636862535667157230163"", ""77714068141593383554738676563823018835776466100255246984703171563544034785022""]",presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,628163458.5, United States, Presidential Popular Vote,5184.0,No,1.12e+77,0.001,0.001,0.001,4.35e-16,0.0,0.0,0.0,0.001,0.001,0.998,299.0,242.9799331,1.20991635,0.769230769,0.005560832,0.237526964,13476.0,5.391139804,0.870213713,1.498189977,0.008830514,0.000147136,0.384683882,0,1e-06,0.0010005,1.0
Robert F. Kennedy Jr.,"[""Yes"", ""No""]","[""0"", ""1""]",28528853.89,28528853.89,True,True,"[""45953708040415323851345959272230471403549163136709199942561817848627731960909"", ""40939142292592314539868067946186355700393188609907644572584902144359791163395""]",democratic-nominee-2024,Democratic Nominee 2024,This is a market on who will be the Democratic nominee for the 2024 presidential election.,327866173.2, United States, Presidential Primary,3104.0,No,4.6e+76,0.001,0.001,0.0269352465,0.170871727,0.015,0.0,0.0,0.001,0.001,0.998,218.0,78.13302752,1.242659645,0.646788991,0.0,4.000694449,2581.0,6.599380085,0.65323518,1.600598838,0.0,0.000108802,1.202634638,0,1e-06,0.0010005,1.0
Other,"[""Yes"", ""No""]","[""0"", ""1""]",28301064.52,28301064.52,True,True,"[""96656178045344637539721800812797460076273926889921701189421153260840359200516"", ""8972288672640435283442731460565050080154589412830184620500535415246091002154""]",germany-parliamentary-election,Germany Parliamentary Election Winner,This is a market on the outcomes and results of the upcoming Germany Parliamentary Election.,134617984.5, Germany, Parliamentary,3252.0,No,9.67e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,68.0,317.7941176,1.357626009,1.044117647,0.012771865,0.124069545,5715.0,3.78127734,0.724584427,1.431837112,0.020472441,0.000114907,0.569028871,0,1e-06,0.0010005,1.0
Other (Incl. Whitmer),"[""Yes"", ""No""]","[""0"", ""1""]",28123133.59,28123133.59,True,True,"[""87463472219622008305238353375053095763486103522943895739006440335317118495978"", ""30972867969119827416094676859865918058435447693174128027045236483230964071336""]",democratic-nominee-2024,Democratic Nominee 2024,This is a market on who will be the Democratic nominee for the 2024 presidential election.,327866173.2, United States, Presidential Primary,3104.0,No,8.749999999999999e+76,0.001,0.001,0.0269352465,0.170871727,0.015,0.0,0.0,0.001,0.001,0.998,218.0,107.9724771,1.343255351,0.688073394,0.0,4.000694449,3375.0,6.974222222,0.512296296,1.567762767,0.0,0.000110372,0.919703704,0,1e-06,0.0010005,1.0
Other,"[""Yes"", ""No""]","[""0"", ""1""]",24501103.38,24501103.38,True,True,"[""20649254764831410038598309644877889692693012350413722948161828363570285257089"", ""53024515843424470958425748417646718652033775144449602653115035271441827847547""]",balance-of-power-2024-election,Balance of Power: 2024 Election,This is a market on predictions regarding the balance of power in the 2024 election.,80130774.42, United States, Balance of Power,512.0,No,2.06e+76,0.004,0.002,0.002842371,0.452370727,0.004,-0.001,0.0,0.002,0.004,0.992,194.0,272.1958763,1.098223865,0.943298969,0.142635307,3.95303564,10630.0,4.967638758,0.870272813,1.449267129,0.095390405,2.09E-05,0.048165569,0,1.6e-05,0.004008021,1.0
Dean Phillips,"[""Yes"", ""No""]","[""0"", ""1""]",22226397.94,22226397.94,True,True,"[""33611065073841023044417049284860005565280089240222305314198063431479940360274"", ""109117100646326624631000331623374300388658148507070655774353423224352508816182""]",democratic-nominee-2024,Democratic Nominee 2024,This is a market on who will be the Democratic nominee for the 2024 presidential election.,327866173.2, United States, Presidential Primary,3104.0,No,3.36e+76,0.001,0.001,0.0269352465,0.170871727,0.015,0.0,0.0,0.001,0.001,0.998,218.0,51.73394495,1.132350161,0.678899083,0.0,4.000694449,1976.0,5.707489879,0.664473684,1.544688775,0.0,0.000139654,1.570850202,0,1e-06,0.0010005,1.0
AOC,"[""Yes"", ""No""]","[""0"", ""1""]",22011560.65,22011560.65,True,True,"[""6238317280296426865475638559260472448644617115418089359113344407432348159324"", ""41954490041086867564121643018635419147920198909390751107256363360262392619696""]",presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,No,6.24e+75,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,303.0,20.6369637,0.822500729,0.825082508,0.076923077,3.32967033,1998.0,3.12962963,0.149149149,1.365264673,0.116616617,0.00949869,104.6451451,0,1e-06,0.0010005,1.0
Nikki Haley,"[""Yes"", ""No""]","[""0"", ""1""]",21923974.49,21923974.49,True,True,"[""73054962612427989214794989986417863037726177625514724797652348246685047271795"", ""1001642493447151925668910251368195271528206049745379920408223242868736360361""]",presidential-election-popular-vote-winner-2024,Popular Vote Winner 2024,This is a market on predicting the winner of the popular vote in the 2024 presidential election.,628163458.5, United States, Presidential Popular Vote,5184.0,No,7.31e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,300.0,108.1733333,1.071756895,0.78,0.009336867,0.400151432,7284.0,4.455244371,0.734486546,1.410637249,0.017984624,0.000236453,0.71169687,0,1e-06,0.0010005,1.0
FDP,"[""Yes"", ""No""]","[""0"", ""1""]",21222938.68,21222938.68,True,True,"[""58133844730076047070110973379344868761150347358500598838005887606220013934718"", ""14875660322078163696008576577608406432294409984642605754965521546683761493099""]",germany-parliamentary-election,Germany Parliamentary Election Winner,This is a market on the outcomes and results of the upcoming Germany Parliamentary Election.,134617984.5, Germany, Parliamentary,3252.0,No,5.81e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,68.0,280.7941176,1.387048381,1.044117647,0.022363046,0.217241018,5696.0,3.352176966,0.655898876,1.412590343,0.033532303,0.00015323,0.570926966,0,1e-06,0.0010005,1.0
Vivek Ramaswamy,"[""Yes"", ""No""]","[""0"", ""1""]",21181731.47,21181731.47,True,True,"[""71118168890902402346450607953977430866499056452499149647300109878547888435163"", ""83989706486871267882400547508608962084989637885033118817277664739968626851490""]",presidential-election-winner-2024,Presidential Election Winner 2024,This is a market on predicting the winner of the 2024 presidential election.,3686335059.0, United States, Presidential,209081.0,No,7.109999999999999e+76,0.001,0.001,0.001,4.34e-16,0.0,0.0,0.0,0.001,0.001,0.998,305.0,23.06557377,0.7120954,0.859016393,0.083297797,3.629404,2223.0,3.164642375,0.08277103,1.381520967,0.124156545,0.009870817,94.05353126,0,1e-06,0.0010005,1.0
Other,"[""Yes"", ""No""]","[""0"", ""1""]",21001687.13,21001687.13,True,True,"[""29341894865625279678261497294203638481782261214939474741348698449162330902763"", ""65013968224635249506836504671128860537268288217015900777882235636455072048724""]",so-paulo-mayoral-election-2024,São Paulo mayoral election 2024,"This is a negrisk market group over which candidate will win the 2024 São Paulo mayoral election, scheduled for October 6, 2024. If required, a runoff will be held on October 27, 2024.",41575007.39, Brazil, Mayoral,429.0,No,2.93e+76,0.002,0.002,0.001028424,0.483245256,0.007,-0.001,0.0,0.001,0.002,0.996,37.0,183.3243243,1.185949082,1.540540541,0.832964765,4.402813757,1899.0,3.571879937,0.424960506,1.338788147,0.904160084,2.04E-05,0.225908373,0,4e-06,0.002002003,1.0
GOP/Dems both lose,"[""Yes"", ""No""]","[""0"", ""1""]",20963826.15,20963826.15,True,True,"[""68388345708992267048901308566601456742220828065695253175236513249017539310422"", ""87695826134002623211782057299688180427360402790438610099604219343088031898083""]",electoral-college-margin-of-victory-in-the-2024-presidential-election,Electoral College Margin of Victory?,This is a market on the anticipated margin of victory in the Electoral College for the upcoming presidential election.,116208770.6, United States, Electoral College,549.0,No,6.84e+76,0.001,0.001,0.001361326,0.430646434,0.003,0.0,0.0,0.001,0.001,0.998,297.0,164.8821549,1.106327154,0.656565657,0.156034307,6.620312728,10536.0,4.647873956,0.845766894,1.473269349,0.066343964,2.62E-05,0.052107062,0,1e-06,0.0010005,1.0
BSW,"[""Yes"", ""No""]","[""0"", ""1""]",19989626.71,19989626.71,True,True,"[""109017296453266284922537718220544121752711611000868061486471538096788929735825"", ""23981180313671057489616797021470375300736483279277322725106149750697962241941""]",germany-parliamentary-election,Germany Parliamentary Election Winner,This is a market on the outcomes and results of the upcoming Germany Parliamentary Election.,134617984.5, Germany, Parliamentary,3252.0,No,1.0899999999999999e+77,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,68.0,273.25,1.378824734,1.044117647,0.01054841,0.102470265,4954.0,3.7507065,0.706903512,1.441795382,0.018974566,0.000162684,0.656439241,0,1e-06,0.0010005,1.0
Greens,"[""Yes"", ""No""]","[""0"", ""1""]",19221605.53,19221605.53,True,True,"[""68722856477421329857892098052993999995690750329444148260814556920255175176595"", ""234913254435593713139775276857105964945975015774723881643512012955137699791""]",germany-parliamentary-election,Germany Parliamentary Election Winner,This is a market on the outcomes and results of the upcoming Germany Parliamentary Election.,134617984.5, Germany, Parliamentary,3252.0,No,6.87e+76,0.001,0.001,0.001,2.17e-16,0.0,0.0,0.0,0.001,0.001,0.998,68.0,293.8676471,1.260264676,1.044117647,0.009508082,0.092364224,4871.0,4.10244303,0.703346335,1.496071661,0.017039622,0.000169185,0.667624718,0,1e-06,0.0010005,1.0
"R Presidency, D Popular Vote","[""Yes"", ""No""]","[""0"", ""1""]",18758441.93,18758441.93,True,True,"[""79290738821633012952251194646343347843753407986785745774809464443278141510795"", ""77538554173896015114453401012117630452637136665613691153928336127167320141811""]",which-party-wins-presidency-popular-vote,Who wins Presidency + Popular Vote?,This is a market on predicting which political party will win both the presidential election and the popular vote in the upcoming election.,83193815.4, United States, Electoral College,882.0,No,7.929999999999999e+76,0.32,0.29,0.32593682,0.102280135,0.16,0.109999956,0.0,0.349999956,0.32,0.36,173.0,132.3872832,1.616588598,0.924855491,0.430031,10.62790901,3526.0,6.49546228,0.231140102,1.538488408,0.427680091,4.70E-05,0.250141804,0,0.1024,0.385662481,1.0
AfD,"[""Yes"", ""No""]","[""0"", ""1""]",18597089.08,18597089.08,True,True,"[""70725071323267489796578137047432522753253842045053305424361728601928113038228"", ""33140494091730733872309680642738152256791055755911659524336076986555946766208""]",germany-parliamentary-election,Germany Parliamentary Election Winner,This is a market on the outcomes and results of the upcoming Germany Parliamentary Election.,134617984.5, Germany, Parliamentary,3252.0,No,7.07e+76,0.034,0.026,0.072058628,0.210944617,0.166999999,-0.004000002,0.0,0.037,0.034,0.932,68.0,341.3823529,1.653635117,1.044117647,0.266477126,2.588634937,4941.0,4.698239223,0.187209067,1.533514259,0.258247318,0.000174866,0.658166363,0,0.001156,0.034591445,1.0
